simple_name,source,mtg_classification
Ruth,Ruth,Legendary Creature
Naomi,Ruth,Legendary Creature
Boaz,Ruth,Legendary Creature
Elimelech,Ruth,Legendary Creature
Mahlon,Ruth,Legendary Creature
Chilion,Ruth,Legendary Creature
Orpah,Ruth,Legendary Creature
Obed,Ruth,Legendary Creature
Bethlehem,Ruth,Land
Moab,Ruth,Land
Gleaning Fields,Ruth,Land
Harvest Field,Ruth,Land
Barley Harvest,Ruth,Sorcery
Kinsman Redeemer,Ruth,Enchantment
Threshing Floor,Ruth,Land
Marriage at the Gate,Ruth,Saga
Hesed,Ruth,Enchantment
Wings of Refuge,Ruth,Enchantment
Redeeming the Land,Ruth,Sorcery
House of Obed,Ruth,Enchantment
Closer Redeemer,Ruth,Creature
Field of Boaz,Ruth,Land
Genealogy of David,Ruth,Enchantment
Boaz's Greeting,Ruth,Instant
Harvest Blessing,Ruth,Enchantment
