simple_name,source,mtg_classification
The Beloved,Song of Solomon,Legendary Creature
The Shulamite,Song of Solomon,Enchantment
The Bridegroom,Song of Solomon,Legendary Creature
The Bride,Song of Solomon,Legendary Creature
Daughters of Jerusalem,Song of Solomon,Creature
Rose of Sharon,Song of Solomon,Enchantment
Lily of the Valleys,Song of Solomon,Enchantment
Apple Tree,Song of Solomon,Legendary Creature
Enclosed Garden,Song of Solomon,Land
Fountain Sealed,Song of Solomon,Land
Myrrh,Song of Solomon,Artifact
Frankincense,Song of Solomon,Artifact
Perfumed Bed,Song of Solomon,Artifact
Banqueting House,Song of Solomon,Legendary Creature
Chariots of Solomon,Song of Solomon,Enchantment
Little Foxes,Song of Solomon,Creature
Gazelle,Song of Solomon,Legendary Creature
Doe,Song of Solomon,Legendary Creature
Dove,Song of Solomon,Legendary Creature
Watchmen,Song of Solomon,Creature
Seal of Love,Song of Solomon,Artifact
Love Strong as Death,Song of Solomon,Enchantment
Many Waters,Song of Solomon,Land
Vineyard,Song of Solomon,Land
Spices,Song of Solomon,Legendary Creature
Milk and Honey,Song of Solomon,Enchantment
Honeycomb,Song of Solomon,Enchantment
Cedars,Song of Solomon,Legendary Creature
Lilies,Song of Solomon,Legendary Creature
Crown on the Wedding Day,Song of Solomon,Artifact
Mountain of Myrrh,Song of Solomon,Land
Hill of Frankincense,Song of Solomon,Land
Morning Shadows,Song of Solomon,Enchantment
Seeking the Beloved,Song of Solomon,Legendary Creature
Open to Me,Song of Solomon,Enchantment
Night Search,Song of Solomon,Enchantment
The Voice of My Beloved,Song of Solomon,Enchantment
My Beloved Is Mine,Song of Solomon,Enchantment
Pomegranate,Song of Solomon,Artifact
Mandrake,Song of Solomon,Artifact
The King's Table,Song of Solomon,Creature
The Breath of Myrrh,Song of Solomon,Artifact
The Garden Fountain,Song of Solomon,Land
The Sound of Love,Song of Solomon,Enchantment
Lily Among Thorns,Song Of Solomon Concepts,Legendary Creature
Rose Among Thorns,Song Of Solomon Concepts,Legendary Creature
Garden Locked,Song Of Solomon Concepts,Land
Spring Locked,Song Of Solomon Concepts,Land
Spikenard Jar,Song Of Solomon Concepts,Artifact
Palanquin of Solomon,Song Of Solomon Concepts,Vehicle
Dance of Love,Song Of Solomon Concepts,Saga
Morning Dew,Song Of Solomon Concepts,Legendary Creature
Foxes in the Vineyard,Song Of Solomon Concepts,Creature
Apple Orchard,Song Of Solomon Concepts,Land
