simple_name,source,mtg_classification
Susanna,Susanna,Legendary Creature
Joakim,Susanna,Legendary Creature
Two Elders,Susanna,Creature
Garden of Joakim,Susanna,Land
Bathing Hour,Susanna,Instant
Elder Plot,Susanna,Sorcery
False Accusation,Susanna,Sorcery
Mastic Tree,Susanna,Land
Oak Tree,Susanna,Land
Court Hearing,Susanna,Sorcery
Daniel the Youth,Susanna,Legendary Creature
Cross-Examination,Susanna,Sorcery
Susanna Vindicated,Susanna,Instant
Guilty Elders,Susanna,Sorcery
Bloodguilt,Susanna,Enchantment
Praise of Susanna,Susanna,Enchantment
Justice Revealed,Susanna,Sorcery
Hidden Garden,Susanna,Land
Fear of the Lord,Susanna,Enchantment
Righteous Judgment,Susanna,Enchantment
