simple_name,source,mtg_classification
Blessed Hope,Titus,Enchantment
Washing of Regeneration,Titus,Enchantment
Sound Teaching,Titus,Enchantment
Elders in Every City,Titus,Enchantment
Grace Has Appeared,Titus,Enchantment
Good Works,Titus,Enchantment
Cretan Reproof,Titus,Enchantment
Household Order,Titus,Enchantment
Pure Mind,Titus,Enchantment
Grace that Trains,Titus,Enchantment
Elder Appointment,Titus,Enchantment
Cretan Truth,Titus,Enchantment
House Order,Titus,Enchantment
Hope of Eternal Life,Titus,Enchantment
Sound Doctrine,Titus,Enchantment
Pure Speech,Titus,Enchantment
Self-Controlled,Titus,Enchantment
