simple_name,source,mtg_classification
Tobit,Tobit,Legendary Creature
Anna,Tobit,Creature
Tobias,Tobit,Legendary Creature
Raphael,Tobit,Legendary Creature
Asmodeus,Tobit,Creature
Sarah of Raguel,Tobit,Creature
Raguel,Tobit,Creature
Edna,Tobit,Creature
Nineveh,Tobit,Land
Media,Tobit,Land
Ecbatana,Tobit,Land
Tigris River,Tobit,Land
Burial of the Dead,Tobit,Sorcery
Prayer of Tobit,Tobit,Instant
Prayer of Sarah,Tobit,Instant
Raphael's Disguise,Tobit,Enchantment
Tobit's Blindness,Tobit,Enchantment
Fish of the Tigris,Tobit,Creature
Fish Heart,Tobit,Artifact
Fish Gall,Tobit,Artifact
Journey to Media,Tobit,Sorcery
Wedding Feast,Tobit,Sorcery
Tobias Marries Sarah,Tobit,Sorcery
Exorcism of Asmodeus,Tobit,Sorcery
Healing of Tobit,Tobit,Instant
Dog of Tobias,Tobit,Creature
Song of Praise,Tobit,Enchantment
