simple_name,source,mtg_classification
Flying Scroll,Zechariah,Artifact
Golden Lampstand,Zechariah,Artifact
Two Olive Trees,Zechariah,Creature
Horsemen in the Myrtles,Zechariah,Enchantment
The Branch,Zechariah,Legendary Creature
Humble King,Zechariah,Legendary Creature
Pierced One,Zechariah,Legendary Creature
Fountain Opened,Zechariah,Land
Measuring Line,Zechariah,Enchantment
Shepherd and Sheep,Zechariah,Creature
Four Horns,Zechariah,Enchantment
Joshua the High Priest,Zechariah,Legendary Creature
Zerubbabel,Zechariah,Legendary Creature
Four Horsemen,Zechariah,Enchantment
Woman in the Ephah,Zechariah,Legendary Creature
Four Chariots,Zechariah,Vehicle
Branch of the LORD,Zechariah,Legendary Creature
Stone with Seven Eyes,Zechariah,Artifact
Betrayed Shepherd,Zechariah,Legendary Creature
Thirty Pieces of Silver,Zechariah,Enchantment
King on a Donkey,Zechariah,Legendary Creature
Jerusalem Restored,Zechariah,Land
Holy to the LORD,Zechariah,Enchantment
Battle for Jerusalem,Zechariah,Land
Return to Zion,Zechariah,Land
