simple_name,source,mtg_classification
Day of Wrath,Zephaniah,Enchantment
Swept Away,Zephaniah,Enchantment
Remnant of Israel,Zephaniah,Legendary Creature
Humble and Lowly,Zephaniah,Enchantment
Pure Speech,Zephaniah,Enchantment
Singing Over You,Zephaniah,Enchantment
Holy Mountain,Zephaniah,Land
Saved by the Name of the LORD,Zephaniah,Enchantment
Gathered Nations,Zephaniah,Enchantment
Day of the LORD,Zephaniah,Enchantment
Silent Before the LORD,Zephaniah,Enchantment
Purging Fire,Zephaniah,Enchantment
Daughter of Zion,Zephaniah,Land
Haughty City,Zephaniah,Enchantment
Gathered for Praise,Zephaniah,Enchantment
Restored Fortunes,Zephaniah,Enchantment
The LORD Rejoices,Zephaniah,Enchantment
Judgment on the Nations,Zephaniah,Enchantment
