simple_name,title,tribal_line,source,mtg_classification
Moses,Lawgiver of Sinai,Human Prophet Leader,Exodus,Legendary Creature
Aaron,High Priest of Israel,Human Priest,Exodus,Legendary Creature
Pharaoh,God-King of Egypt,Human Noble Tyrant,Exodus,Legendary Creature
Miriam the Prophetess,Singer of Deliverance,Human Prophet Bard,Exodus,Legendary Creature
Joshua,Faithful Commander,Human Warrior,Exodus,Legendary Creature
Bezalel,Spirit-Filled Artisan,Human Artificer,Exodus,Legendary Creature

Land of Milk and Honey,,,Exodus,Enchantment

Ark of the Covenant,,,Exodus,Artifact
Mercy Seat,,,Exodus,Artifact
The Stone Tablets,,,Exodus,Artifact
Golden Lampstand,,,Exodus,Artifact
Bronze Serpent,,,Numbers,Artifact
Altar of Incense,,,Exodus,Artifact
Tabernacle,,,Exodus,Artifact
Manna from Heaven,,,Exodus,Artifact

Pillar of Cloud,,,Exodus,Enchantment
Pillar of Fire,,,Exodus,Enchantment
Passover,,,Exodus,Enchantment

Ten Plagues of Egypt,,,Exodus,Saga
The Ten Commandments,,,Exodus,Enchantment

The Burning Bush,,,Exodus,Sorcery
Let My People Go,,,Exodus,Sorcery
Parting of the Red Sea,,,Exodus,Sorcery

Rod to Serpent,,,Exodus,Instant
Water from the Rock at Horeb,,,Exodus,Instant

I AM THAT I AM,,,Exodus,Enchantment

Golden Calf,,,Exodus,Artifact
Moses Smashes the Tablets,,,Exodus,Sorcery

Song of the Sea,,,Exodus,Enchantment

Law Given in Thunder,,,Exodus,Sorcery
