simple_name,title,tribal_line,source,mtg_classification
Adam,First Man of Dust,Human,Genesis,Legendary Creature
Eve,Mother of All Living,Human,Genesis,Legendary Creature
Cain,Marked Wanderer,Human,Genesis,Legendary Creature
Abel,Righteous Shepherd,Human,Genesis,Legendary Creature
Noah,Preserver of Creation,Human,Genesis,Legendary Creature
Abraham,Father of the Covenant,Human,Genesis,Legendary Creature
Isaac,Child of Promise,Human,Genesis,Legendary Creature
Jacob,He Who Wrestles with God,Human,Genesis,Legendary Creature
Joseph,Interpreter of Dreams,Human,Genesis,Legendary Creature
Eden,Genesis,Enchantment
The Tree of Life,Genesis,Artifact
The Tree of the Knowledge of Good & Evil,Genesis,Artifact
The Ark,Genesis,Artifact
Flaming Sword of the East,Genesis,Artifact
Let There Be Light,Genesis,Sorcery
The Fall,Genesis,Sorcery
Exile from Eden,Genesis,Sorcery
The Flood,Genesis,Enchantment — Saga
Tower of Babel,Genesis,Sorcery
Call of Abram,Genesis,Sorcery
Jacob's Ladder,Genesis,Sorcery
Wrestling with God,Genesis,Battle
Sold into Egypt,Genesis,Sorcery
Seven Years of Famine,Genesis,Enchantment — Saga
Destruction of Sodom and Gomorrah,Genesis,Sorcery
What God Meant for Good,Genesis,Enchantment
Coat of Many Colors,Genesis,Artifact
Garments of Skin,Genesis,Artifact
