simple_name,title,tribal_line,source,mtg_classification
Jesus Christ,Word Made Flesh,Avatar,John,Legendary Creature
Mary,Mother of the Messiah,Human,John,Legendary Creature
John the Baptist,Voice in the Wilderness,Human Prophet,John,Legendary Creature
Peter,Rock of the Disciples,Human Cleric,John,Legendary Creature
Philip,Seeker of the Messiah,Human,John,Legendary Creature
Nathanael,Israelite Without Guile,Human,John,Legendary Creature
The Twelve Disciples,,Human,John,Legendary Creature
Nicodemus,Seeker by Night,Human Pharisee,John,Legendary Creature
Samaritan Woman,Witness at the Well,Human,John,Legendary Creature
Mary Magdalene,First Witness of the Risen,Human,John,Legendary Creature
Martha,Confessor of the Resurrection,Human,John,Legendary Creature
Lazarus,Called from the Tomb,Human,John,Legendary Creature
Thomas,From Doubt to Faith,Human,John,Legendary Creature
Caiaphas,High Priest of the Council,Human Cleric,John,Legendary Creature
Pontius Pilate,Governor of Judea,Human Noble,John,Legendary Creature
Beloved Disciple,Witness of Truth,Human,John,Legendary Creature

Loaves and Fishes,John,Artifact
Basin and Towel,John,Artifact
Crown of Thorns,John,Artifact
Cross of Crucifixion,John,Artifact
Burial Cloths,John,Artifact

Water into Wine,John,Sorcery
New Birth from Above,John,Enchantment
Living Water,John,Enchantment
Bread of Life,John,Enchantment
Light of the World,John,Enchantment
Good Shepherd,John,Enchantment

Raising of Lazarus,John,Sorcery
Triumphal Entry,John,Sorcery

Cleansing of the Temple,John,Sorcery
Betrayal and Arrest,John,Sorcery
Trial Before Pilate,John,Sorcery
Crucifixion,John,Sorcery

Washing of the Feet,John,Instant
Vine and Branches,John,Enchantment

Gethsemane Prayer,John,Instant
Wherever Two or More are Gathered,John,Instant

The Empty Tomb,John,Sorcery
The Great Commission,John,Enchantment
